# AIST/GSJ, Geochemical Map of Hot Spring Waters (GRES-DB ONSEN 2020), gbank.gsj.jp/gres-db
# source:    https://gbank.gsj.jp/gres-db/download/onsen/GSJ_DB_GRES-DB_ONSEN_2020.zip
# sha256:    09ceca4ebf6a4ba366c6093845f190b95e2fd3a2ad7c7d97f0ac074bc4a68cab
# licence:   政府標準利用規約 第2.0版 (CC BY 4.0 compatible), attribution required
# generated: scripts/fetch-aist.mjs -- do not edit by hand
#
# Positions are the AREA CENTROID of the polygon each row publishes. Every
# cell in this file is 187-191 m across, which is a publisher privacy
# choice rather than GPS scatter. The centroid is a distance key only: it
# must never be written to a record location or used to mint a pin.
ser	onsenName	sourceName	prefecture	lat	lng	measuredAt	celsius	unit	ph	tds	sodium	calcium	magnesium	iron	chloride	sulfate	bicarbonate	silica
1	和琴半島	和琴地獄	北海道	43.58154387327457	144.3128002778915	1977	98.2	mg/kg	9.1	1439	334.5	0.3			320.5	118.9	234.2	452.641
2	和琴半島	町有井	北海道	43.56548376462963	144.34194682264905	1977	50.9	mg/kg	8.5	827	245.5	3.3	2.2		161.8	5	425.8	170.315
3	和琴半島	静翠荘	北海道	43.57206764394697	144.31841647496887	1977	97.2	mg/kg	7.8	616	77.1	23.1	24.8		12.8		374.5	303.227
4	和琴半島	恒川井	北海道	43.57416401927026	144.3152485592473	1977	98.4	mg/kg	8.8	1300	317.8	0.7	0.2		324.6	42.6	325.7	516.6
5	和琴半島	湖畔露天風呂	北海道	43.58157769719163	144.31267133790743	1977	47.8	mg/kg	6.9	548	74.8	21.4	22.9		50.4	3.3	278.2	184.717
6	竜雲知床温泉		北海道	43.82292581285442	145.08272015346813	1998	51.5	mg/l	7.9	7220	2260	74.7	2.6	0.14	3710	3.5	373	126
7	陸嶺川鉱泉		北海道	43.907248588510306	145.01022803629616	1998	17	mg/l	5	1440	62.9	339	20.9	23.9	91.6	572	449	108
8	陸志別川支流鉱泉		北海道	43.91518774521164	145.027575423846	1998	11.5	mg/l	5.8	790	12.2	255	6.8	4.68	7.6	228	520	46.5
9	陸志別川鉱泉		北海道	43.92507369886967	145.03015006360715	1998	11.3	mg/l	5.5	885	32	254	8.4	3.72	8.9	295	491	33
10	羅臼温泉	羅臼川本流-E	北海道	44.03199179631086	145.15438738539137	1978	54.5	mg/l	6	1532	446.5	40.9	12.6	1.94	539.6	190.6	226.9	115.2
11	羅臼温泉	羅臼川本流-D	北海道	44.03101530831395	145.1555120711613	1976	95.1	mg/l	8.3	3812	1288			0.41	1587	284.8	440.4	312.8
12	羅臼温泉	羅臼川本流-C	北海道	44.031425668438175	145.15219963503665	1976	95	mg/l	9.2	3871	1288			0.03	1609	286.1	446.5	319.8
13	羅臼温泉	羅臼川本流-B	北海道	44.031154542473836	145.15225414954463	1976	96.8	mg/l	9.1	3821	1284	0.3	0.1	0.03	1580	291.4	442.9	356.7
14	羅臼温泉	地熱54井	北海道	44.03324985498274	145.1517844787532	1979	106	mg/l	9.3	3811	1310	2.3	0.5	0.04	1564	324.3	506.3	313.2
15	羅臼温泉	元湯の沢K	北海道	44.02864578197725	145.15945488461583	1976	75.6	mg/l	6.4	2012	610.5	6.8	25.2	0.06	725.6	157.6	402.6	215.5
16	羅臼温泉	元湯の沢J	北海道	44.029109778929886	145.15877102725463	1976	94.8	mg/l	9.2	3045	1072	0.2	0.1	0.01	1275	238.3	407.5	329.5
17	羅臼温泉	元湯の沢I	北海道	44.02912382767868	145.15837511855105	1976	66	mg/l	6.5	1582	539	7.6	3.7	0.11	571.1	118.5	356.2	138.3
18	羅臼温泉	元湯の沢H	北海道	44.029040624966576	145.15752736293138	1976	79	mg/l	6.5	1217	380	13.8	4.3	0.35	375.5	70.8	383.1	141.2
19	羅臼温泉	元湯の沢G	北海道	44.02902577184863	145.15729914380213	1976	77.8	mg/l	6.9	1349	438	11.2	4.1	0.11	433.7	81.5	381.9	151.1
20	羅臼温泉	元湯の沢F	北海道	44.02823361292667	145.1588327162172	1976	37	mg/l	8	465	136	8.9	3.1	0.01	135.3	21.4	161.7	64.8
21	羅臼温泉	元湯の沢E	北海道	44.02890265934688	145.15988384516396	1978	39.2	mg/l	7.9	1083	347	22	5.6	0.05	391.2	60.1	273.3	100.7
