# Jarðhiti (N500V), Náttúrufræðistofnun, after Helgi Torfason 2003, Jarðhitakort af Íslandi (NI-03016)
# source:    https://gis.lmi.is/geoserver/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=ni:ni_n50v_serstok_vernd_1_n500v_jardhiti_p&outputFormat=application/json&srsName=EPSG:4326
# licence:   CC BY 4.0 -- attribution: "Jarðhiti (N500V)" by Náttúrufræðistofnun is licensed under CC BY 4.0
# sha256:    5bae61ffb29609740a07e9038d24d1db05a1bc763f0d28fe1adbda0dc2fb6c4c  (of the rows below, so a hand edit is detectable)
# retrieved: 2026-09-24
# Generated by scripts/fetch-iceland-geothermal.mjs. Do not edit by hand.
id	type	lat	lng	accuracyMeters
1	volgra	64.133	-21.7362	500
2	volgra	64.2156	-21.7725	500
3	volgra	64.2259	-21.4278	500
4	volgra	64.2503	-21.3897	500
5	volgra	64.4596	-21.2992	500
6	volgra	64.464	-21.13	500
7	volgra	64.4711	-21.1267	500
8	volgra	64.4763	-21.1237	500
9	volgra	64.4868	-21.1199	500
10	volgra	64.5209	-21.0811	500
11	volgra	64.526	-21.1427	500
12	volgra	64.5477	-21.3482	500
13	volgra	64.6732	-21.087	500
14	laug	64.681	-21.0957	500
15	volgra	64.632	-21.4704	500
16	volgra	64.6631	-21.4345	500
17	volgra	64.7139	-21.305	500
18	volgra	64.6969	-21.0569	500
19	volgra	64.6941	-20.9042	500
20	volgra	64.8827	-20.9134	500
21	volgra	64.7502	-21.413	500
22	volgra	64.7572	-21.4069	500
23	kolsýrulaugar	64.8597	-22.311	500
24	volgra	64.8309	-22.9152	500
25	volgra	65.6255	-22.948	500
26	volgra	65.6191	-22.9375	500
27	volgra	65.5769	-23.1838	500
28	volgra	65.5482	-23.2032	500
29	volgra	65.4867	-23.2527	500
30	volgra	65.5204	-23.3425	500
31	volgra	65.5155	-23.3636	500
32	volgra	65.5057	-23.5266	500
33	volgra	65.591	-23.5347	500
34	volgra	65.6058	-23.5571	500
35	volgra	65.6021	-23.5854	500
36	volgra	65.5863	-23.7542	500
37	volgra	65.5926	-23.7755	500
38	volgra	65.6342	-23.8503	500
39	volgra	65.8036	-22.8257	500
40	volgra	65.9282	-22.8048	500
41	volgra	65.9967	-22.1451	500
42	volgra	66.1128	-22.5381	500
43	volgra	66.1985	-21.9159	500
44	volgra	66.0729	-21.7432	500
45	volgra	66.048	-21.7229	500
46	volgra	66.0416	-21.7842	500
47	volgra	65.818	-21.6335	500
48	volgra	65.7976	-21.3352	500
49	volgra	65.7589	-21.4622	500
50	volgra	65.4523	-21.3999	500
51	volgra	65.7437	-19.6504	500
52	volgra	65.6947	-19.7943	500
53	volgra	65.6224	-19.606	500
54	volgra	65.5311	-19.3211	500
55	volgra	65.5068	-19.3003	500
56	volgra	65.4375	-19.3302	500
57	volgra	65.386	-19.2285	500
58	volgra	65.3781	-19.2203	500
59	volgra	65.3482	-19.1944	500
60	volgra	65.4231	-19.0875	500
61	volgra	65.6558	-19.0995	500
62	volgra	66.1057	-18.793	500
63	volgra	66.008	-18.7695	500
64	volgra	65.9999	-18.7801	500
65	volgra	65.9261	-18.5946	500
66	volgra	65.8736	-17.9687	500
67	volgra	65.5978	-17.9905	500
68	volgra	65.5915	-18.0453	500
69	volgra	65.5607	-18.1289	500
70	volgra	65.4448	-18.2828	500
71	volgra	65.4045	-17.3991	500
72	volgra	65.3838	-17.2999	500
73	volgra	65.5492	-17.1501	500
74	volgra	65.6141	-16.9187	500
75	volgra	66.0815	-16.6893	500
76	volgra	66.1379	-16.6576	500
77	volgra	66.146	-16.5565	500
78	volgra	66.2868	-15.8362	500
79	volgra	66.0721	-15.5278	500
80	volgra	65.4641	-14.6376	500
81	volgra	65.1086	-15.5072	500
82	laug	65.1015	-15.5107	500
83	volgra	65.0525	-15.5296	500
84	volgra	65.0235	-15.5444	500
85	volgra	65.013	-15.5704	500
86	laug	64.9993	-15.5722	500
87	volgra	65.0811	-15.6732	500
88	volgra	65.0743	-15.694	500
89	volgra	64.8084	-16.0431	500
90	volgra	64.9647	-15.1585	500
91	volgra	64.9467	-15.194	500
92	volgra	64.8333	-15.3156	500
93	volgra	64.8264	-15.3165	500
94	volgra	64.8262	-15.3673	500
95	volgra	64.8404	-15.3897	500
96	volgra	64.7177	-16.6693	500
97	volgra	64.7002	-17.871	500
98	volgra	64.0408	-17.4724	500
99	volgra	63.7606	-18.4849	500
100	volgra	63.7387	-18.6001	500
101	volgra	63.9594	-20.049	500
102	volgra	64.4031	-20.0087	500
103	volgra	64.3235	-20.1232	500
104	volgra	64.2766	-20.1609	500
105	volgra	64.3138	-20.3133	500
106	volgra	64.2767	-20.2422	500
107	volgra	64.2625	-20.2844	500
108	volgra	64.2574	-20.3052	500
109	volgra	64.2565	-20.201	500
110	volgra	64.2111	-20.1294	500
111	volgra	64.2095	-20.273	500
112	volgra	64.1559	-20.2915	500
113	volgra	64.193	-20.7183	500
114	volgra	64.1761	-20.6067	500
115	volgra	64.1671	-20.5119	500
116	volgra	64.1034	-20.3752	500
117	volgra	64.0856	-20.3399	500
118	volgra	64.0881	-20.5005	500
119	volgra	63.9812	-20.2164	500
120	volgra	63.9537	-20.2658	500
121	volgra	63.9721	-20.394	500
122	volgra	63.9806	-20.4273	500
123	volgra	63.8885	-20.6159	500
124	volgra	63.9041	-20.5664	500
125	volgra	63.8712	-20.807	500
126	volgra	63.9325	-20.8315	500
127	volgra	63.9741	-20.8567	500
128	volgra	64.0343	-21.0443	500
129	volgra	63.9708	-21.2272	500
130	volgra	64.1262	-21.9343	500
131	volgra	64.122	-21.7944	500
132	volgra	64.1285	-21.7857	500
133	volgra	64.2934	-21.479	500
134	volgra	64.3586	-21.381	500
135	volgra	64.3557	-21.2862	500
136	volgra	64.3655	-21.3083	500
137	volgra	64.3825	-21.2786	500
138	volgra	64.3885	-21.2904	500
139	volgra	64.4876	-21.4966	500
140	volgra	64.469	-21.2656	500
141	volgra	64.4896	-21.317	500
142	volgra	64.4803	-21.325	500
143	volgra	64.4842	-21.3428	500
144	volgra	64.452	-21.0857	500
145	volgra	64.5306	-21.175	500
146	volgra	64.6755	-21.0549	500
147	volgra	64.6746	-21.0742	500
148	volgra	64.7098	-21.0777	500
149	volgra	64.6717	-21.1719	500
150	volgra	64.6475	-21.1604	500
151	volgra	64.6577	-21.2227	500
152	volgra	64.7663	-21.2328	500
153	volgra	64.782	-21.5165	500
154	volgra	64.8896	-20.5954	500
155	volgra	64.8885	-21.201	500
156	kolsýrulaugar	64.8993	-22.1029	500
157	kolsýrulaugar	64.9159	-22.7789	500
158	kolsýrulaugar	64.841	-22.9648	500
159	volgra	65.1376	-22.0908	500
160	volgra	65.4896	-21.932	500
161	volgra	65.5775	-22.2815	500
162	volgra	65.5766	-22.9689	500
163	volgra	65.5878	-23.1122	500
164	volgra	65.5845	-23.1502	500
165	volgra	65.5198	-23.4256	500
166	volgra	65.5042	-23.4935	500
167	volgra	65.5871	-23.9651	500
168	volgra	65.5971	-23.7837	500
169	volgra	65.5874	-23.766	500
170	volgra	65.6135	-23.6043	500
171	volgra	65.625	-23.6004	500
172	volgra	65.6382	-23.6286	500
173	volgra	65.7371	-23.2096	500
174	volgra	65.7886	-22.844	500
175	volgra	65.807	-22.5271	500
176	volgra	65.8882	-22.296	500
177	volgra	65.8892	-22.6155	500
178	volgra	65.927	-22.5848	500
179	volgra	65.8941	-22.8586	500
180	volgra	65.9094	-23.0034	500
181	volgra	66.1147	-23.2618	500
182	volgra	66.1122	-22.6109	500
183	volgra	66.2437	-22.0787	500
184	volgra	66.212	-21.9307	500
185	volgra	66.1917	-21.9321	500
186	volgra	66.1907	-22.0122	500
187	volgra	66.1808	-22.0358	500
188	volgra	66.0573	-21.7598	500
189	volgra	66.2888	-22.5772	500
190	volgra	65.8216	-21.3642	500
191	volgra	65.7702	-21.5355	500
192	volgra	65.3123	-20.9075	500
193	volgra	65.4304	-19.913	500
194	volgra	65.6866	-19.7412	500
195	volgra	65.5817	-19.3546	500
196	volgra	65.5914	-19.324	500
197	volgra	65.5704	-19.3126	500
198	volgra	65.5537	-19.2887	500
199	volgra	65.5469	-19.181	500
200	volgra	65.5366	-19.469	500
201	volgra	65.521	-19.4086	500
202	volgra	65.5119	-19.3112	500
203	volgra	65.4955	-19.2997	500
204	volgra	65.4911	-19.274	500
205	volgra	65.4446	-19.3682	500
206	volgra	65.4527	-19.3292	500
207	volgra	65.4493	-19.2713	500
208	volgra	65.4583	-19.2163	500
209	volgra	65.4097	-19.2633	500
210	volgra	65.3754	-19.2436	500
211	volgra	65.2623	-18.9777	500
212	volgra	65.6443	-19.0911	500
