# NOAA NCEI Thermal Springs List for the United States (1981)
# source:    https://www.ncei.noaa.gov/data/oceans/archive/arc0238/0303600/1.1/data/0-data/geothermal_database/data/NCEI-thermal-springs.xlsx
# doi:       10.25921/c8p0-zs06
# sha256:    bb3e65d8fbf34d25b6e6d071f86dc5d67f68ee022d55ff7aac428d29283d351c
# licence:   CC0-1.0 Public Domain Dedication
# retrieved: 2026-09-07
# Generated by scripts/fetch-ncei.mjs. Do not edit by hand.
state	lat	lng	name	tf	tc
AK	55.982999999999997	-131.661	BAILEY HOT SPRING	198	92
AK	57.085000000000001	-134.839	BARANOF WARM SPRINGS	124	51
AK	56.68	-131.88200000000001	BARNES LAKE HOT SPRINGS	79	26
AK	55.933	-131.559	BELL ISLAND HOT SPRINGS	165	74
AK	56.232999999999997	-131.267	BRADFIELD CANAL HOT SPRINGS	135	57
AK	65.052999999999997	-146.05699999999999	CHENA HOT SPRINGS	153	67
AK	56.716999999999999	-132.005	CHIEF SHAKES HOT SPRINGS	122	50
AK	52.84	-169.9	CHUGINADAK HOT SPRINGS	H	H
AK	65.483000000000004	-144.637	CIRCLE HOT SPRINGS	135	57
AK	64.849999999999994	-162.30000000000001	CLEAR CREEK HOT SPRINGS	149	65
AK	66.216999999999999	-149.547	DALL HOT SPRINGS	129	54
AK	55.334000000000003	-133.64099999999999	DALTON (CRAIG) HOT SPRINGS	109	43
AK	65.908000000000001	-154.99299999999999	DENIKTOW RIDGE HOT SPRINGS	H	H
AK	55.368000000000002	-161.96100000000001	FUMAROLE	H	H
AK	51.774999999999999	-178.79300000000001	FUMAROLES ON GARELOI ISLAND	H	H
AK	51.762	-178.77	FUMAROLES ON GARELOI ISLAND	144	62
AK	51.924999999999997	-177.16	FUMAROLES ON KANAGA ISLAND	219	104
AK	51.944000000000003	178.547	FUMAROLES ON LITTLE SITKIN ISLAND	H	H
AK	51.963000000000001	178.49100000000001	FUMAROLES ON LITTLE SITKIN ISLAND	H	H
AK	51.966999999999999	178.44399999999999	FUMAROLES ON LITTLE SITKIN ISLAND	H	H
AK	57.865000000000002	-156.499	GAS ROCKS HOT SPRING	127	53
AK	56.835999999999999	-135.374	GODDARD HOT SPRINGS	153	67
AK	65.367000000000004	-161.25	GRANITE MOUNTAIN HOT SPRINGS	120	49
AK	64.924000000000007	-154.83699999999999	HORNER HOT SPRINGS	117	47
AK	61.267000000000003	-151.238	HOT LAKE IN BOTTOM OF CRATER PEAK	H	H
AK	55.334000000000003	-162.137	HOT SPRING AT WEST END EMMONS LAKE	68	20
AK	67.403000000000006	-153.88300000000001	HOT SPRING NEAR ARRIGETCH PEAKS	W	W
AK	57.347999999999999	-135.38499999999999	HOT SPRING NEAR FISH BAY	117	47
AK	62.45	-157.93299999999999	HOT SPRING NEAR FLAT	W	W
AK	58.24	-155.09	HOT SPRING NEAR KATMAI PASS	H	H
AK	64.7	-162.46700000000001	HOT SPRING NEAR KWINIUK RIVER	106	41
AK	65.45	-150	HOT SPRING NEAR LITTLE MINOOK CR	H	H
AK	57.177999999999997	-157.01499999999999	HOT SPRING NEAR MOTHER GOOSE LAKE	138	59
AK	55.863	-160.49299999999999	HOT SPRING NEAR PORT MOLLER	160	71
AK	61.058	-160.69200000000001	HOT SPRING NEAR TULUKSAK RIVER	H	H
AK	57.771000000000001	-135.82	HOT SPRING NORTH ARM PERIL STRAIT	100	38
AK	54.9	-162.88499999999999	HOT SPRING ON AMAGAT ISLAND	H	H
AK	52.87	173.13	HOT SPRING ON ATTU ISLAND	W	W
AK	65.046999999999997	-142.84800000000001	HOT SPRING ON FLAT CREEK	W	W
AK	52.96	-169.71	HOT SPRING ON KAGAMIL ISLAND	H	H
AK	51.94	178.5	HOT SPRING ON LITTLE SITKIN ISLAND	H	H
AK	52.357999999999997	-172.31700000000001	HOT SPRING ON SEGUAM ISLAND	H	H
AK	51.81	-177.79	HOT SPRING ON TANAGA ISLAND	H	H
AK	64.001999999999995	-156.30000000000001	HOT SPRING ON TRIBUTARY OF INNOKO R	H	H
AK	60.837000000000003	-142.41999999999999	HOT SPRING ON TWELVEMILE CREEK	W	W
AK	53.232999999999997	-168.3	HOT SPRING ON UMNAK ISLAND	149	65
AK	54.66	-164.55	HOT SPRING ON UNIMAK ISLAND	H	H
AK	58.92	-153.97999999999999	HOT SPRING WEST OF CAPE DOUGLAS	H	H
AK	55.216999999999999	-162.483	HOT SPRINGS EAST OF COLD BAY	129	54
AK	63.883000000000003	-150.71700000000001	HOT SPRINGS EAST OF DIAMOND	W	W
AK	66.367000000000004	-156.767	HOT SPRINGS NEAR DIVISION BM	140	60
AK	65.266999999999996	-155.28	HOT SPRINGS NEAR DULBI RIVER	126	52
AK	53.213000000000001	-168.46299999999999	HOT SPRINGS NEAR GEYSER BIGHT	216	102
AK	53.207000000000001	-168.44499999999999	HOT SPRINGS NEAR GEYSER BIGHT	H	H
AK	53.222999999999999	-168.477	HOT SPRINGS NEAR GEYSER BIGHT	214	101
AK	63.683	-151.233	HOT SPRINGS NEAR GLACIER	W	W
AK	54.156999999999996	-165.85	HOT SPRINGS NEAR HOT SPRINGS BAY	181	83
AK	53.241999999999997	-168.36500000000001	HOT SPRINGS NEAR HOT SPRINGS COVE	192	89
AK	53.253	-168.358	HOT SPRINGS NEAR HOT SPRINGS COVE	158	70
AK	58.37	-137.09	HOT SPRINGS NEAR ICY POINT	153	67
AK	65.216999999999999	-162.9	HOT SPRINGS NEAR LAVA CREEK	127	53
AK	53.847999999999999	-166.87299999999999	HOT SPRINGS NEAR MAKUSHIN VOLCANO	94	34
AK	53.850999999999999	-166.91800000000001	HOT SPRINGS NEAR MAKUSHIN VOLCANO	H	H
AK	54.944000000000003	-163.251	HOT SPRINGS NEAR MORZHOVOI	145	63
AK	58.27	-154.88999999999999	HOT SPRINGS NEAR MT KATMAI	H	H
AK	61.2	-159.863	HOT SPRINGS NEAR OPHIR CREEK	145	63
AK	66.150000000000006	-157.11699999999999	HOT SPRINGS NEAR SOUTH BM	122	50
AK	53.877000000000002	-166.44800000000001	HOT SPRINGS NEAR SUMMER BAY	H	H
AK	58.033000000000001	-136.017	HOT SPRINGS NORTH END TENAKEE INLET	180	82
AK	51.97	-176.61	HOT SPRINGS ON ADAK ISLAND	154	68
AK	54.18	-165.41	HOT SPRINGS ON AKUN ISLAND	H	H
AK	54.23	-165.66	HOT SPRINGS ON AKUN ISLAND	H	H
AK	52.19	-174.25	HOT SPRINGS ON ATKA ISLAND	167	75
AK	52.34	-174.26	HOT SPRINGS ON ATKA ISLAND	H	H
AK	52.27	-174.042	HOT SPRINGS ON ATKA ISLAND	H	H
AK	65.233000000000004	-144.483	HOT SPRINGS ON BIG WINDY CREEK	H	H
AK	53.95	-168.03700000000001	HOT SPRINGS ON BOGOSLOF ISLAND	H	H
AK	52.042000000000002	-176.108	HOT SPRINGS ON GREAT SITKIN ISLAND	210	99
